Country,Pct_GDP,Annual_Rank,Start_Pct,Total_Change,Meets_Target,Commentary
Hungary,2.129138634,15,0.857233094,1.272,True,"## Hungary – Defence Expenditure Brief

Hungary's defence spending trajectory represents one of the most significant transformations within the Alliance, rising from just 0.86% of GDP in 2014 to 2.13% in 2024—a remarkable 1.27 percentage point increase that reflects a sustained commitment to modernising its defence capabilities. By surpassing the 2% GDP benchmark, Hungary has joined the growing cohort of Allies meeting this critical threshold, ranking 15th among 32 member nations. This achievement signals a meaningful investment in collective security and demonstrates that Hungary recognises the importance of shared burden-sharing in an increasingly complex threat environment. The Alliance is strengthened when members undertake such substantial fiscal commitments to ensuring Euro-Atlantic peace and stability."
Italy,1.497509515,28,1.132310942,0.365,False,"## Italy – Defence Expenditure Brief

Italy has demonstrated a meaningful upward trajectory in defence spending, increasing its share of GDP by 0.36 percentage points since 2014—a clear signal of growing commitment to Alliance burden-sharing obligations. While the current level of 1.50% of GDP places Italy 28th among 32 member nations and below the 2% guideline, the sustained positive trend reflects Rome's recognition of the evolving security environment and the importance of collective defence. As one of NATO's largest European economies and a significant contributor to Alliance operations and missions across multiple theatres, Italy's continued acceleration toward the 2% target would substantially bolster both its own capabilities and the Alliance's overall deterrence posture. The international community looks to Italy's leadership, and further investment momentum would send a powerful signal of resolve to both Allies and adversaries alike."
Latvia,3.360018421,3,0.969921485,2.39,True,"## Latvia – Defence Expenditure Brief

Latvia's defence spending trajectory represents one of the most remarkable transformations within the Alliance, surging from 0.97% of GDP in 2014 to 3.36% in 2024—an increase of 2.39 percentage points that places it third among all 32 NATO members. As a frontline state on the Alliance's eastern flank, Latvia's extraordinary commitment to defence investment reflects a clear-eyed understanding of the evolving security environment and a profound dedication to collective deterrence. This level of spending, well exceeding the 2% benchmark, sends a powerful signal of resolve to both Allies and potential adversaries, reinforcing NATO's credibility and cohesion in a critical strategic region. Latvia stands as an exemplary model of burden-sharing and serves as a testament to what determined national leadership can achieve in strengthening transatlantic security."
Lithuania,3.087800111,5,0.883811213,2.204,True,"## Lithuania

Lithuania's defence spending trajectory represents one of the most remarkable transformations within the Alliance, surging from just 0.88% of GDP in 2014 to an impressive 3.09% in 2024—a 2.20 percentage point increase that reflects an extraordinary national commitment to collective security. Ranking fifth among all 32 NATO members, Lithuania not only meets but substantially exceeds the 2% GDP guideline, demonstrating that frontline Allies acutely understand the indivisible link between defence investment and deterrence. Situated on NATO's eastern flank, Lithuania's sustained and accelerating commitment sends a powerful signal of resolve to both Allies and potential adversaries, reinforcing the credibility of the Alliance's defence posture in the Baltic region. Lithuania stands as a model for how decisive political will can translate into meaningful capability growth that strengthens peace and stability across the Euro-Atlantic area."
Luxembourg,1.189560392,33,0.367663142,0.822,False,"## Luxembourg – Defence Expenditure Brief

Luxembourg has demonstrated a remarkable commitment to strengthening its defence posture, more than tripling its spending as a share of GDP from 0.37% in 2014 to 1.19% in 2024—an increase of 0.82 percentage points that represents one of the most significant proportional growth trajectories in the Alliance. While Luxembourg currently ranks 33rd among members and has not yet reached the 2% GDP target, the sustained upward trend signals genuine political will and an understanding of the shared responsibility underpinning collective security. As a small nation with a modest defence infrastructure, Luxembourg also contributes meaningfully through niche capabilities, multinational programmes, and substantial investments in NATO-affiliated initiatives that extend beyond headline spending figures. Continued momentum along this trajectory will further reinforce Luxembourg's credibility as a committed Ally dedicated to transatlantic peace and stability."
Montenegro,1.716077691,25,1.504432324,0.212,False,"## Montenegro

Montenegro has demonstrated a meaningful commitment to strengthening its defence posture since joining the Alliance, increasing its defence spending from 1.50% of GDP in 2014 to 1.72% in 2024—a steady upward trajectory that reflects genuine political will toward burden-sharing. While the country has not yet reached the 2% of GDP target, the 0.21 percentage point increase signals a consistent and deliberate effort to align with Alliance expectations, particularly notable for a smaller economy managing competing fiscal priorities. As Montenegro continues to integrate more deeply into NATO's collective defence architecture, sustained momentum toward the 2% benchmark will be essential to reinforcing both its national resilience and its credibility as a committed Alliance partner."
NATO Europe and Canada,1.989713087,20,1.398854284,0.591,False,"## NATO Europe and Canada – Defence Expenditure Brief

The NATO Europe and Canada aggregate has demonstrated a remarkable collective trajectory, increasing defence spending by 0.59 percentage points of GDP since 2014—a clear signal that European Allies and Canada are responding meaningfully to the evolving security environment and shared Alliance commitments. At 1.99% of GDP in 2024, this grouping stands at the very threshold of the 2% guideline, reflecting a degree of collective momentum that would have been difficult to envision a decade ago when spending sat at just 1.40%. While the aggregate has not yet formally crossed the 2% benchmark and ranks 20th among the 32 members, the sustained upward trend underscores a genuine strengthening of the European and Canadian contribution to transatlantic burden-sharing. Continued prioritisation of defence investment across these Allies will be essential to ensuring the Alliance remains credibly postured to deter threats and uphold international peace and stability."
Netherlands,2.003353528,19,1.123601249,0.88,True,"## Netherlands – Defence Expenditure Brief

The Netherlands has demonstrated a commendable and sustained commitment to strengthening its defence posture, nearly doubling its spending from 1.12% of GDP in 2014 to precisely 2.00% in 2024—a significant 0.88 percentage point increase that reflects deliberate and consistent investment over the past decade. By reaching the 2% GDP benchmark, the Netherlands joins the growing cohort of Allies meeting this critical threshold, signaling a clear recognition that credible defence investment is essential to Alliance cohesion and Euro-Atlantic security. Ranked 19th among 32 member nations, the Netherlands occupies a solid position within the Alliance and has historically complemented its financial contributions with high-quality force capabilities, niche specializations, and meaningful operational deployments. The trajectory from well below target to full compliance exemplifies the kind of purposeful realignment that strengthens NATO's collective deterrence and reinforces the rules-based international order."
North Macedonia,1.887932196,23,1.088401743,0.8,False,"## North Macedonia

North Macedonia has demonstrated a remarkable commitment to strengthening its defence posture since joining the Alliance, nearly doubling its defence spending from 1.09% of GDP in 2014 to 1.89% in 2024—a substantial 0.80 percentage point increase that underscores genuine dedication to collective security. This upward trajectory is particularly commendable for a newer member state, signalling that North Macedonia takes its Article 5 obligations seriously and is investing meaningfully in Alliance interoperability and readiness. With spending now just 0.11 percentage points short of the 2% benchmark, North Macedonia is well positioned to achieve this critical target in the near term, and continued momentum will further solidify its role as a valued contributor to Euro-Atlantic peace and stability."
Norway,2.274756647,11,1.539005243,0.736,True,"## Norway

Norway has demonstrated a commendable and sustained commitment to strengthening its defence posture, increasing spending by 0.74 percentage points since 2014 to reach 2.27% of GDP in 2024—comfortably surpassing the Alliance's 2% benchmark. Ranking 11th among the 32 member nations, Norway's trajectory reflects a clear recognition of the evolving security landscape, particularly given its strategic position on NATO's northern flank and its shared border with Russia. This investment not only reinforces Norway's own territorial defence but significantly enhances Alliance deterrence and collective security in the High North, a region of growing geopolitical importance."
Poland,3.788951289,1,1.864472246,1.924,True,"## Poland

Poland stands as the Alliance's foremost contributor in terms of defence spending as a share of GDP, claiming the top position among all 32 member nations at an exceptional 3.79% in 2024. The remarkable 1.92 percentage point increase since 2014 reflects a sustained and deliberate commitment to national and collective defence, driven in large part by Poland's acute awareness of the evolving security landscape on NATO's eastern flank. By nearly doubling its relative investment over the past decade and exceeding the 2% guideline by a significant margin, Poland sends an unambiguous signal of resolve to allies and adversaries alike. Warsaw's leadership in burden-sharing serves as a powerful example for the entire Alliance and meaningfully strengthens NATO's deterrence and defence posture at a critical juncture for European security."
Portugal,1.581433015,27,1.306764053,0.275,False,"## Portugal – Defence Expenditure Brief

Portugal has demonstrated a meaningful upward trajectory in defence spending, increasing from 1.31% of GDP in 2014 to 1.58% in 2024, reflecting a sustained commitment to strengthening its contribution to collective security. While the 2% target remains unmet and Portugal's rank of 27th among 32 Allies underscores the distance still to be covered, the 0.28 percentage point increase signals genuine political will to invest more seriously in defence capabilities. As a nation with a proud maritime tradition and strategic positioning on the Alliance's Atlantic flank, Portugal's continued progress toward the benchmark will be essential for reinforcing NATO's southern and maritime resilience. The Alliance looks forward to Portugal building on this positive momentum with accelerated investment in the years ahead."
Romania,2.171074155,13,1.347606162,0.823,True,"## Romania – Defence Expenditure Brief

Romania has demonstrated a commendable and sustained commitment to strengthening its defence posture, increasing spending by 0.82 percentage points since 2014 to reach 2.17% of GDP in 2024, firmly surpassing the NATO 2% guideline. This trajectory is particularly significant given Romania's strategic position on the Alliance's eastern flank, where its investments directly bolster deterrence and collective defence at a time of heightened regional security challenges. Ranking 13th among the 32 member nations, Romania serves as a strong example of an Ally that has translated political commitments into tangible defence investments, reinforcing both its national resilience and the broader stability of the Euro-Atlantic area."
Slovak Republic,1.960171699,21,0.981634127,0.979,False,"## Slovak Republic – Defence Expenditure Brief

The Slovak Republic has demonstrated a remarkable commitment to strengthening its defence posture, doubling its spending from 0.98% of GDP in 2014 to 1.96% in 2024—an impressive increase of nearly a full percentage point that underscores genuine strategic resolve. While Bratislava narrowly falls short of the 2% benchmark, the trajectory is unmistakable and positions the country on the verge of meeting this critical Alliance commitment. This sustained upward trend reflects Slovakia's recognition that robust defence investment is essential to collective deterrence and Euro-Atlantic stability, particularly given its position on NATO's eastern flank. The Alliance should acknowledge this significant progress and encourage the Slovak Republic to maintain its momentum in closing the remaining marginal gap."
Slovenia,1.371048503,31,0.983231509,0.388,False,"## Slovenia – Defence Expenditure Brief

Slovenia has demonstrated a meaningful commitment to strengthening its defence posture, increasing spending from 0.98% of GDP in 2014 to 1.37% in 2024—a notable 0.39 percentage point rise that reflects a genuine upward trajectory. However, its ranking of 31st out of 32 Allied nations underscores that considerable ground remains to be covered before reaching the 2% guideline, and sustained acceleration will be essential in the years ahead. As a valued member of the Alliance situated at a strategically important crossroads in Central Europe, Slovenia's continued investment in defence capabilities is critical to reinforcing NATO's collective deterrence and ensuring regional stability. The Alliance looks forward to Slovenia building on this positive momentum with a credible path toward meeting the agreed benchmark."
Spain,1.429382384,30,0.915131542,0.514,False,"## Spain

Spain has demonstrated a meaningful commitment to strengthening its defence posture, increasing spending by 0.51 percentage points since 2014—representing a more than 55% increase relative to its baseline, which reflects a significant shift in national priorities. While its current expenditure of 1.43% of GDP and ranking of 30th among 32 Allies indicate that considerable ground remains to be covered before reaching the 2% target, the upward trajectory is an encouraging signal of Spain's growing recognition of the evolving security environment. As one of the Alliance's largest economies and a vital contributor to NATO operations across the Mediterranean and beyond, Spain's continued acceleration toward the 2% benchmark would substantially bolster collective deterrence and reinforce the credibility of Allied burden-sharing commitments."
Sweden,2.305686177,10,1.07216224,1.234,True,"## Sweden

Sweden's accession to NATO marked a historic shift in European security, and the country has backed this commitment with remarkable substance, more than doubling its defence spending from 1.07% of GDP in 2014 to 2.31% in 2024—a 1.23 percentage point increase that ranks among the most impressive trajectories in the Alliance. Entering NATO already above the 2% guideline and positioned 10th among 32 members, Sweden has demonstrated that its decision to join the Alliance was accompanied by genuine investment in collective defence rather than symbolic membership. This rapid and sustained build-up of defence capability, driven by an evolving threat environment in the Baltic region, significantly strengthens NATO's northern flank and reinforces the credibility of Allied deterrence and defence posture in an increasingly complex security landscape."
Türkiye,2.131924372,14,1.446641358,0.685,True,"## Türkiye

Türkiye has demonstrated a strong and sustained commitment to Alliance burden-sharing, increasing its defence expenditure from 1.45% of GDP in 2014 to 2.13% in 2024—a substantial 0.69 percentage point rise that reflects a clear strategic prioritisation of national and collective defence. As a country that meets the NATO 2% guideline, Türkiye affirms its role as a key contributor to Alliance security, particularly given its unique geostrategic position at the nexus of Europe, the Middle East, and the Black Sea region. This upward trajectory underscores Türkiye's recognition that robust defence investment is essential to deterrence and stability across the Euro-Atlantic area, and its efforts deserve commendation as the Alliance navigates an increasingly complex security environment."
United Kingdom,2.33298845,9,2.142375696,0.191,True,"## United Kingdom

The United Kingdom continues to demonstrate its steadfast commitment to collective defence, maintaining spending above the NATO 2% guideline throughout the past decade and reaching 2.33% of GDP in 2024. The consistent upward trajectory from 2.14% in 2014 reflects a deliberate and sustained investment in defence capabilities that reinforces the UK's role as one of the Alliance's most capable and dependable contributors. Ranked 9th among 32 member nations, the United Kingdom's defence posture — underpinned by its nuclear deterrent, expeditionary capabilities, and leadership in Allied operations — remains a cornerstone of transatlantic security and global stability. London's enduring commitment sets a credible benchmark for Allies working toward the 2% target and signals the seriousness with which it regards its obligations to the Alliance."
United States,3.205383573,4,3.713862253,-0.508,True,"## United States

The United States remains a cornerstone of Alliance security, dedicating 3.21% of GDP to defence in 2024 — well above the 2% guideline and ranking fourth among all NATO members. While spending has declined by 0.51 percentage points since 2014, this modest decrease from a historically elevated baseline still reflects an unparalleled absolute investment in collective defence capabilities, force projection, and Alliance-wide enablers. The United States continues to underwrite a significant share of NATO's operational readiness, and its sustained commitment above the 2% target sets a powerful example that reinforces deterrence and transatlantic stability."
